HOME_CODE,HOME_TEAM,DATE,TIME,AWAY_CODE,AWAY_TEAM,LOCATION,HASHTAG,TVSHEDULE,TICKETS,MATCHCENTRE,HOME_TICKETS,HOME_SHOP,HOME_TWITTER,AWAY_TICKETS,AWAY_SHOP,AWAY_TWITTER
LIV,Liverpool,09-08-2019,20:00:00,NOR,Norwich City,"Anfield, Liverpool",#LIVNOR,,,,,,,,,
BOU,Bournemouth,10-08-2019,15:00:00,SUN,Sheffield United,"Vitality Stadium, Bournemouth",#BOUSUN,,,,,,,,,
BUR,Burnley,10-08-2019,15:00:00,SOU,Southampton,"Turf Moor, Burnley",#BURSOU,,,,,,,,,
CRY,Crystal Palace,10-08-2019,15:00:00,EVE,Everton,"Selhurst Park, London",#CRYEVE,,,,,,,,,
LEI,Leicester City,10-08-2019,15:00:00,WOL,Wolverhampton Wanderers,"King Power Stadium, Leicester",#LEIWOL,,,,,,,,,
TOT,Tottenham Hotspur,10-08-2019,17:30:00,VIL,Aston Villa,"Tottenham Hotspur Stadium, London",#TOTVIL,,,,,,,,,
WAT,Watford,10-08-2019,15:00:00,BHA,Brighton & Hove Albion,"Vicarage Road, Watford",#WATBHA,,,,,,,,,
WHU,West Ham United,10-08-2019,12:30:00,MCI,Manchester City,"London Stadium, London",#WHUMCI,,,,,,,,,
MUN,Manchester United,11-08-2019,16:30:00,CHE,Chelsea,"Old Trafford, Manchester",#MUNCHE,,,,,,,,,
NEW,Newcastle United,11-08-2019,14:00:00,ARS,Arsenal,"St. James' Park, Newcastle",#NEWARS,,,,,,,,,
ARS,Arsenal,17-08-2019,15:00:00,BUR,Burnley,"Emirates Stadium, London",#ARSBUR,,,,,,,,,
VIL,Aston Villa,17-08-2019,15:00:00,BOU,Bournemouth,"Villa Park, Birmingham",#VILBOU,,,,,,,,,
BHA,Brighton & Hove Albion,17-08-2019,15:00:00,WHU,West Ham United,"Amex Stadium, Falmer",#BHAWHU,,,,,,,,,
CHE,Chelsea,17-08-2019,15:00:00,LEI,Leicester City,"Stamford Bridge, London",#CHELEI,,,,,,,,,
EVE,Everton,17-08-2019,15:00:00,WAT,Watford,"Goodison Park, Liverpool",#EVEWAT,,,,,,,,,
MCI,Manchester City,17-08-2019,15:00:00,TOT,Tottenham Hotspur,"Etihad Stadium, Manchester",#MCITOT,,,,,,,,,
NOR,Norwich City,17-08-2019,15:00:00,NEW,Newcastle United,"Carrow Road, Norwich",#NORNEW,,,,,,,,,
SUN,Sheffield United,17-08-2019,15:00:00,CRY,Crystal Palace,"Bramall Lane, Sheffield",#SUNCRY,,,,,,,,,
SOU,Southampton,17-08-2019,15:00:00,LIV,Liverpool,"St. Mary's Stadium, Southampton",#SOULIV,,,,,,,,,
WOL,Wolverhampton Wanderers,17-08-2019,15:00:00,MUN,Manchester United,"Molineux Stadium, Wolverhampton",#WOLMUN,,,,,,,,,
VIL,Aston Villa,24-08-2019,15:00:00,EVE,Everton,"Villa Park, Birmingham",#VILEVE,,,,,,,,,
BOU,Bournemouth,24-08-2019,15:00:00,MCI,Manchester City,"Vitality Stadium, Bournemouth",#BOUMCI,,,,,,,,,
BHA,Brighton & Hove Albion,24-08-2019,15:00:00,SOU,Southampton,"Amex Stadium, Falmer",#BHASOU,,,,,,,,,
LIV,Liverpool,24-08-2019,15:00:00,ARS,Arsenal,"Anfield, Liverpool",#LIVARS,,,,,,,,,
MUN,Manchester United,24-08-2019,15:00:00,CRY,Crystal Palace,"Old Trafford, Manchester",#MUNCRY,,,,,,,,,
NOR,Norwich City,24-08-2019,15:00:00,CHE,Chelsea,"Carrow Road, Norwich",#NORCHE,,,,,,,,,
SUN,Sheffield United,24-08-2019,15:00:00,LEI,Leicester City,"Bramall Lane, Sheffield",#SUNLEI,,,,,,,,,
TOT,Tottenham Hotspur,24-08-2019,15:00:00,NEW,Newcastle United,"Tottenham Hotspur Stadium, London",#TOTNEW,,,,,,,,,
WAT,Watford,24-08-2019,15:00:00,WHU,West Ham United,"Vicarage Road, Watford",#WATWHU,,,,,,,,,
WOL,Wolverhampton Wanderers,24-08-2019,15:00:00,BUR,Burnley,"Molineux Stadium, Wolverhampton",#WOLBUR,,,,,,,,,
ARS,Arsenal,31-08-2019,15:00:00,TOT,Tottenham Hotspur,"Emirates Stadium, London",#ARSTOT,,,,,,,,,
BUR,Burnley,31-08-2019,15:00:00,LIV,Liverpool,"Turf Moor, Burnley",#BURLIV,,,,,,,,,
CHE,Chelsea,31-08-2019,15:00:00,SUN,Sheffield United,"Stamford Bridge, London",#CHESUN,,,,,,,,,
CRY,Crystal Palace,31-08-2019,15:00:00,VIL,Aston Villa,"Selhurst Park, London",#CRYVIL,,,,,,,,,
EVE,Everton,31-08-2019,15:00:00,WOL,Wolverhampton Wanderers,"Goodison Park, Liverpool",#EVEWOL,,,,,,,,,
LEI,Leicester City,31-08-2019,15:00:00,BOU,Bournemouth,"King Power Stadium, Leicester",#LEIBOU,,,,,,,,,
MCI,Manchester City,31-08-2019,15:00:00,BHA,Brighton & Hove Albion,"Etihad Stadium, Manchester",#MCIBHA,,,,,,,,,
NEW,Newcastle United,31-08-2019,15:00:00,WAT,Watford,"St. James' Park, Newcastle",#NEWWAT,,,,,,,,,
