Year,short_name,long_name,age,nationality,club,overall,potential,eff_overall,player_positions,team_position,contract_valid_until
2015,M. Ozil,Mesut Ozil,25,Germany,Arsenal,86,87,87,"CAM, LW",LW,2018
2015,A. Sanchez,Alexis Sanchez,25,Chile,Arsenal,84,88,85,"RW, ST",RW,2019
2015,Santi Cazorla,Santi Cazorla,29,Spain,Arsenal,84,84,84,"LM, CAM, RM",SUB,2017
2015,A. Ramsey,Aaron Ramsey,23,Wales,Arsenal,83,86,84,"CM, CDM",RCM,2019
2015,P. Mertesacker,Per Mertesacker,29,Germany,Arsenal,83,83,83,CB,RCB,2017
2015,T. Walcott,Theo Walcott,25,England,Arsenal,81,85,82,RM,SUB,2016
2015,J. Wilshere,Jack Wilshere,22,England,Arsenal,81,85,82,"CM, CDM, LM",LCM,2018
2015,L. Koscielny,Laurent Koscielny,28,France,Arsenal,81,81,81,CB,LCB,2019
2015,W. Szczesny,Wojciech Szczesny,24,Poland,Arsenal,80,83,81,GK,GK,2018
2015,T. Rosicky,Tomas Rosicky,33,Czech Republic,Arsenal,80,80,80,"CAM, RM",SUB,2016
2015,Mikel Arteta,Mikel Arteta,32,Spain,Arsenal,80,80,80,CDM,SUB,2015
2015,M. Debuchy,Mathieu Debuchy,28,France,Arsenal,80,80,80,RB,SUB,2017
2015,O. Giroud,Olivier Giroud,27,France,Arsenal,79,79,79,ST,SUB,2017
2015,A. Oxlade-Chamberlain,Alex Oxlade-Chamberlain,20,England,Arsenal,78,86,80,"RM, CM, RW",SUB,2017
2015,D. Welbeck,Daniel Welbeck,23,England,Arsenal,78,83,79,"ST, CF, LM",ST,2019
2015,K. Gibbs,Kieran Gibbs,24,England,Arsenal,78,82,79,LB,SUB,2018
2015,D. Ospina,David Ospina,25,Colombia,Arsenal,77,82,78,GK,SUB,2018
2015,L. Podolski,Lukas Podolski,29,Germany,Arsenal,77,77,77,"LM, LW, ST",SUB,2016
2015,M. Flamini,Mathieu Flamini,30,France,Arsenal,77,77,77,"CDM, CM",CDM,2016
2015,A. Diaby,Abou Diaby,28,France,Arsenal,76,76,76,"CM, CDM",SUB,2015
2015,Nacho Monreal,Nacho Monreal,28,Spain,Arsenal,76,76,76,LB,LB,2017
2015,J. Campbell,Joel Campbell,22,Costa Rica,Arsenal,75,83,77,"RM, LM",SUB,2015
2015,C. Chambers,Calum Chambers,19,England,Arsenal,71,83,74,"RB, CB",RB,2019
2015,S. Gnabry,Serge Gnabry,18,Germany,Arsenal,70,82,73,RM,RES,2018
2015,F. Coquelin,Francis Coquelin,23,France,Arsenal,70,75,71,"LM, CM",RES,2015
2015,Y. Sanogo,Yaya Sanogo,21,France,Arsenal,69,79,71,ST,RES,2018
2015,E. Martinez,Emiliano Martinez,21,Argentina,Arsenal,63,72,65,GK,RES,2015
2015,G. Zelalem,Gedion Zelalem,17,Germany,Arsenal,62,82,66,CM,RES,2018
2015,Hector Bellerin,Hector Bellerin,19,Spain,Arsenal,61,72,64,RB,RES,2017
2015,C. Akpom,Chuba Akpom,18,England,Arsenal,59,75,63,ST,RES,2015
2015,J. Vickers,Josh Vickers,18,England,Arsenal,57,63,59,GK,RES,2016
2015,R. Huddart,Ryan Huddart,17,England,Arsenal,56,65,58,GK,RES,2016
2015,T. Moore,Tafari Moore,16,England,Arsenal,56,64,58,RB,RES,2016
2015,C. Benteke,Christian Benteke,23,Belgium,Aston Villa,80,85,81,ST,SUB,2017
2015,R. Vlaar,Ron Vlaar,29,Netherlands,Aston Villa,79,79,79,CB,SUB,2015
2015,B. Guzan,Bradley Guzan,29,United States,Aston Villa,78,78,78,GK,GK,2017
2015,C. Sanchez,Carlos Sanchez,28,Colombia,Aston Villa,76,76,76,"CDM, CM",SUB,2018
2015,F. Delph,Fabian Delph,24,England,Aston Villa,75,81,77,"CM, CDM",LCM,2015
2015,C. N'Zogbia,Charles N'Zogbia,28,France,Aston Villa,75,75,75,"CAM, LM, RM",SUB,2016
2015,T. Cleverley,Tom Cleverley,24,England,Aston Villa,74,78,75,"CM, CDM, CAM",RCM,2015
2015,A. Cissokho,Aly Cissokho,26,France,Aston Villa,74,76,75,"LB, LWB",LB,2018
2015,S. Given,Shay Given,38,Republic of Ireland,Aston Villa,74,74,74,GK,SUB,2016
2015,D. Bent,Darren Bent,30,England,Aston Villa,74,74,74,ST,SUB,2015
2015,J. Okore,Jores Okore,21,Denmark,Aston Villa,73,82,75,"CB, RB",SUB,2017
2015,A. Weimann,Andreas Weimann,22,Austria,Aston Villa,73,78,74,"CF, ST, RM",RS,2016
2015,C. Clark,Ciaran Clark,24,Republic of Ireland,Aston Villa,73,76,74,"CB, LB",RES,2016
2015,M. Lowton,Matthew Lowton,25,England,Aston Villa,73,76,74,RB,SUB,2017
2015,L. Kozak,Libor Kozak,25,Czech Republic,Aston Villa,73,75,74,ST,SUB,2017
2015,K. Richardson,Kieran Richardson,29,England,Aston Villa,73,73,73,"LB, LM",CAM,2016
2015,G. Agbonlahor,Gabriel Agbonlahor,27,England,Aston Villa,73,73,73,"CF, ST, LM",LS,2018
2015,A. Westwood,Ashley Westwood,24,England,Aston Villa,72,78,74,"CDM, CM",CDM,2017
2015,P. Senderos,Philippe Senderos,29,Switzerland,Aston Villa,72,72,72,CB,RCB,2016
2015,N. Baker,Nathan Baker,23,England,Aston Villa,71,76,72,"CB, LB",LCB,2016
2015,A. Hutton,Alan Hutton,29,Scotland,Aston Villa,71,71,71,RB,RB,2017
2015,C. Herd,Chris Herd,25,Australia,Aston Villa,70,72,71,"CB, CDM, RB",RES,2015
2015,L. Bacuna,Leandro Bacuna,22,Netherlands,Aston Villa,67,72,68,"RB, RM, CAM",SUB,2016
2015,J. Grealish,Jack Grealish,18,Republic of Ireland,Aston Villa,66,80,69,"LM, CAM",SUB,2015
2015,E. Stevens,Enda Stevens,23,Republic of Ireland,Aston Villa,62,68,64,LB,RES,2015
2015,B. Siegrist,Benjamin Siegrist,22,Switzerland,Aston Villa,61,70,63,GK,RES,2019
2015,M. Drennan,Michael Drennan,20,Republic of Ireland,Aston Villa,60,71,63,"ST, RM",RES,2015
2015,G. Burke,Graham Burke,20,Republic of Ireland,Aston Villa,59,70,62,"CF, ST",RES,2015
2015,C. Robinson,Callum Robinson,19,England,Aston Villa,58,77,62,ST,RES,2016
2015,J. Graham,Jordan Graham,19,England,Aston Villa,58,76,62,"RM, LM",RES,2019
2015,T. Leggett,Thomas Leggett,18,England,Aston Villa,53,66,56,RB,RES,2021
2015,D. O'Brien,Daniel O'Brien,18,England,Aston Villa,53,63,55,RM,RES,2020
2015,K. Trippier,Kieran Trippier,23,England,Burnley,72,78,74,RB,RB,2017
2015,J. Shackell,Jason Shackell,30,England,Burnley,72,72,72,CB,LCB,2016
2015,M. Kightly,Michael Kightly,28,England,Burnley,72,72,72,"LM, RM",SUB,2017
2015,T. Heaton,Tom Heaton,28,England,Burnley,72,72,72,GK,GK,2017
2015,D. Ings,Danny Ings,21,England,Burnley,71,79,73,ST,SUB,2015
2015,M. Gilks,Matt Gilks,32,Scotland,Burnley,71,71,71,GK,SUB,2016
2015,L. Jutkiewicz,Lukas Jutkiewicz,25,England,Burnley,70,73,71,ST,RS,2017
2015,M. Taylor,Matthew Taylor,32,England,Burnley,70,70,70,"CM, LM, CDM",SUB,2016
2015,D. Jones,David Jones,29,England,Burnley,70,70,70,CM,LCM,2016
2015,S. Ward,Stephen Ward,28,Republic of Ireland,Burnley,70,70,70,"LB, LM",SUB,2017
2015,A. Barnes,Ashley Barnes,24,Austria,Burnley,69,74,70,"ST, LW, RW",SUB,2017
2015,S. Vokes,Sam Vokes,24,Wales,Burnley,69,73,70,ST,SUB,2017
2015,B. Mee,Ben Mee,24,England,Burnley,69,71,70,"LB, CB",LB,2017
2015,S. Reid,Steven Reid,33,Republic of Ireland,Burnley,69,69,69,RB,SUB,2015
2015,N. Chalobah,Nathaniel Chalobah,19,England,Burnley,68,83,71,"CM, CDM",SUB,2018
